Model,Mean_Macro_F1,Std_Macro_F1,Mean_Accuracy,Std_Accuracy,Mean_Weighted_F1,Mean_Cohen_Kappa,Mean_MCC,Train_Macro_F1,Total_Time_s,Time_per_Fold_s
SGD_modified_huber,0.9231087353911256,0.0031193658277170635,0.9232941176470588,0.003085105790622279,0.9231087353911256,0.8977254901960785,0.8978486307360601,0.9565810282596164,8.231978416442871,0.8231978416442871
LinearSVC_C0.1,0.9223794154212321,0.0032796040067133215,0.9225686274509803,0.0032441352757003818,0.9223794154212321,0.8967581699346405,0.8968758666521769,0.9540879509658629,10.325317144393921,1.0325317144393922
LinearSVC_C1.0,0.9210073438062716,0.00336424121901653,0.9211176470588235,0.003350360203740733,0.9210073438062715,0.8948235294117646,0.8948733724509431,0.9934149333057756,19.955193758010864,1.9955193758010865
LogisticReg_C1.0_L2,0.9206884962942284,0.0035055612503633237,0.9208333333333334,0.003481220558689018,0.9206884962942284,0.8944444444444443,0.8945125715298519,0.96169749632585,49.632075548172,4.9632075548172
LogisticReg_C10.0_L2,0.9181584649221153,0.0036901642833214727,0.9182549019607844,0.0036826223042494364,0.9181584649221153,0.8910065359477125,0.8910418088302443,0.9963619513350637,74.56697463989258,7.456697463989258
SGD_hinge_alpha1e-4,0.9169337748239968,0.0033024867849046984,0.9172058823529412,0.003255507267127612,0.9169337748239968,0.8896078431372547,0.8897850064856033,0.9339532861692292,7.65633487701416,0.765633487701416
LinearSVC_C10.0,0.9097309168069605,0.0027713328462858596,0.909813725490196,0.002754343673805668,0.9097309168069604,0.8797516339869281,0.8797765773391062,0.9998017430852176,101.80466222763062,10.180466222763062
LogisticReg_C0.1_L2,0.9075779956716259,0.0030436166973452383,0.907843137254902,0.003018270648661833,0.9075779956716257,0.8771241830065358,0.8772480469996603,0.9197004790882879,23.472452402114868,2.3472452402114867
SGD_log_alpha1e-4,0.9043282308777263,0.003218861430506714,0.9046862745098039,0.0031707161626731524,0.9043282308777263,0.8729150326797386,0.8730741020140785,0.9142892898823064,6.7878663539886475,0.6787866353988647
MultinomialNB_alpha0.1,0.9017543206279051,0.003769227396678055,0.902156862745098,0.00370583047997725,0.9017543206279048,0.8695424836601306,0.8697777855815166,0.9108268500646737,1.4208135604858398,0.142081356048584
ComplementNB_alpha0.1,0.900960313825834,0.003797896066344926,0.9016666666666667,0.0037205850060695266,0.900960313825834,0.868888888888889,0.8692228542891833,0.9078576558012961,1.4563100337982178,0.14563100337982177
ComplementNB_alpha1.0,0.8984120341090348,0.004180517887773644,0.8991568627450979,0.004092406298475645,0.8984120341090348,0.8655424836601308,0.865886268832023,0.9040857817239975,1.456345796585083,0.1456345796585083
MultinomialNB_alpha1.0,0.8974656400045886,0.0036577718574018203,0.8979509803921568,0.0035980392156862696,0.8974656400045884,0.8639346405228757,0.8641749741315984,0.9044278895455532,1.4488236904144287,0.14488236904144286
BernoulliNB_alpha1.0,0.8833980084091102,0.0034658345136255523,0.8841666666666667,0.003423029071988947,0.8833980084091102,0.8455555555555556,0.8462235434779763,0.8888796305705478,3.129957437515259,0.3129957437515259
RandomForest_n100,0.8788438598624984,0.003511080407133727,0.8795098039215686,0.0034319327273841208,0.8788438598624986,0.8393464052287583,0.8396283330277488,0.9999193914491578,452.33588123321533,45.23358812332153
RandomForest_n200_d20,0.8285487891562795,0.004256062584183613,0.8299117647058823,0.004191322666868833,0.8285487891562795,0.7732156862745099,0.7747533613058292,0.8679832700273444,123.92499709129333,12.392499709129334
Dummy_Uniform,0.2503111043861096,0.005201784287865436,0.2503137254901961,0.005208420414496932,0.2503111043861096,0.00041830065359476086,0.000418306207460052,0.2500352126497166,0.7931952476501465,0.07931952476501465
Dummy_Stratified,0.24971215470803357,0.003227956012294197,0.24975490196078437,0.003228230554122933,0.24971215470803357,-0.00032679738562091387,-0.0003268310547653654,0.2498062216681837,1.4256932735443115,0.14256932735443115
Dummy_MostFrequent,0.1,0.0,0.25,0.0,0.1,0.0,0.0,0.1,1.5047810077667236,0.15047810077667237
